subject,text,label
Special offer,Get 20% off on your next order. Use code SAVE20 at checkout.,spam
Job interview invitation,We would like to invite you for an interview for the position of Software Engineer.,ham
Package delivery,Your package from Amazon has been delivered. Please confirm receipt by replying to this email.,ham
Urgent message from bank,Action required: Your bank account has been temporarily suspended due to suspicious activity. Please log in to your account to verify your identity.,spam
Newsletter,Here's our latest newsletter with updates on our company and products.,ham
Enlarge your manhood,Get the ultimate solution to increase your manhood size.,spam
Online course registration,Registration for our online course on Machine Learning is now open. Sign up now to secure your spot.,ham
Your account has been hacked,We regret to inform you that your account has been hacked. Please reset your password immediately to prevent further damage.,spam
Meeting reminder,This is a reminder that our team meeting is scheduled for next Wednesday at 10 am. Please make sure to attend.,ham
Important message from your bank,Dear valued customer we have noticed suspicious activity on your account. Please click the link below to verify your identity.,spam
Invitation to attend a free seminar,You're invited to attend a free seminar on how to grow your business. Register now to secure your spot.,ham
Amazing weight loss solution,Lose 10 pounds in 10 days with our revolutionary weight loss solution. Order now and start seeing results!,spam
Meeting rescheduled,Due to unforeseen circumstances the meeting scheduled for tomorrow has been rescheduled for next week. We apologize for any inconvenience.,ham
Your account has been credited,Congratulations! Your account has been credited with $500 as part of our loyalty rewards program.,ham
New job opportunities,We have several job openings in your field. Click the link below to learn more and apply now.,spam
URGENT: Action required,Your account is at risk of being closed. Please take action immediately to prevent this from happening.,spam
Reminder: Parent-teacher conference,Don't forget about our upcoming event next Saturday. RSVP the parent-teacher conference is scheduled for next week. Please make sure to attend. ,ham
Exclusive offer for our VIP customers,As one of our valued VIP customers we're offering you an exclusive discount on our latest products. Order now before it's too late!,spam
Important update from HR,Please be advised that there will be changes to the company's benefits program starting next month. Please see the attached document for details.,ham
Free trial of our new software,Try our new software for free for 30 days. Download now and start experiencing the benefits!,ham
URGENT: Your account has been compromised,We have reason to believe that your account may have been compromised. Please click the link below to reset your password and secure your account.,spam
Reminder: Annual company picnic,The annual company picnic is scheduled for next Saturday. Please RSVP by Wednesday so we can plan accordingly.,ham
Congratulations, you're a winner! You've been selected as the winner of our monthly prize drawing. Click the link below to claim your prize.,spam
Job interview confirmation,We're pleased to confirm your job interview scheduled for next Monday. Please arrive at least 15 minutes early.,ham
Exclusive offer for our email subscribers,As a valued subscriber to our email list we're offering you an exclusive discount on our products. Use the code provided at checkout to receive your discount.,spam
Important message from HR,Due to a recent security breach all employees are required to update their passwords immediately. Please click the link below to change your password.,spam
Request for proposal,We're interested in working with your company on an upcoming project. Please see the attached document for more information and let us know if you're interested in submitting a proposal.,ham
Claim your free trial now!,Try our product for free for 14 days. Click the link below to download and start your free trial today!,spam
Reminder: Team meeting,Don't forget the team meeting is scheduled for tomorrow at 10am. Please come prepared with your updates and any questions you may have.,ham
Exclusive offer for our social media followers,As one of our valued social media followers we're offering you an exclusive discount on our products. Use the code provided at checkout to receive your discount.,spam
New product launch,We're excited to announce the launch of our latest product. Click the link below to learn more and place your order.,ham
Free money,Hi there! You've just won $1000. Click on this link to claim your prize!,spam
Important meeting,Reminder: We have a meeting at 2pm today in conference room B.,ham
Get rich quick,Make money fast! Earn $10000 per week with our easy-to-use system.,spam
Lunch plans,Do you want to grab lunch today? There's a new sushi place down the street.,ham
You're a winner,Congratulations! You're the lucky winner of a free cruise to the Caribbean.,spam
Meeting agenda,Here's the agenda for our meeting today: 1. Discuss new marketing campaign 2. Review budget,ham
Discount offer,Save 20% on all purchases over $50 with this coupon code: DISCOUNT20.,spam
Weekly report,Attached is the weekly sales report for the team. Let me know if you have any questions.,ham
Special promotion,Don't miss out on our limited-time offer! Get a free gift with your purchase today.,spam
New product launch,Exciting news: We're launching a new product next week. Stay tuned for more details!,ham
Job opportunity,We're hiring! Check out our job openings and submit your application today.,ham
Money transfer,Your account has been credited with $500. Click on this link to confirm the transfer.,spam
Team building event,Join us for a fun team building event next Friday. RSVP by Wednesday if you plan to attend.,ham
Exclusive deal,As a valued customer we're offering you an exclusive discount on your next purchase. Don't miss out!,spam
Product update,We've released a new version of our software. Make sure to update to the latest version for optimal performance.,ham
Get a loan,Need money fast? Get approved for a loan in just minutes with our easy online application.,spam
New employee,Please welcome our newest team member John Smith to the company.,ham
Amazing offer,You won't believe this amazing offer! Get a free trip to Hawaii with your purchase today.,spam
Staff meeting,Reminder: Our weekly staff meeting is at 10am tomorrow in the main conference room.,ham
Holiday sale,Happy holidays! Get 50% off all purchases today only with this coupon code: HOLIDAY50.,spam
Project update,Here's the latest update on our project. We're on track to meet our deadline.,ham
Investment opportunity,Invest in our company and earn a high return on your investment. Contact us for more information.,spam
Performance review,Attached is your performance review for the past quarter. Let's discuss your goals for the next quarter.,ham
Unbeatable deal,This is an unbeatable deal you can't pass up. Get 75% off your purchase today with this coupon code: DEAL75.,spam
New office location,We're moving to a new office location next month. More details to come!,ham
Limited time offer,Don't miss out on our limited-time offer! Get free shipping with your purchase today.,spam
Networking event,Join us for a networking event next Thursday. Bring your business cards and be ready to make connections!,ham
New project,We're starting a new project next week. I'll send more details soon.,ham
Discount code,Get 10% off your purchase with this coupon code: DISCOUNT10. Shop now!,spam
URGENT: You've won a prize!,Congratulations! You have won a prize. Please reply with your name and address to claim your prize.,spam
Reminder: Staff meeting tomorrow,Just a reminder that we have a staff meeting scheduled for tomorrow at 10am. See you there.,ham
Get rich quick,Discover the secret to making millions with our exclusive program. Sign up now!,spam
Important security update,We have identified a security vulnerability in our system. Please update your password immediately.,ham
Hello,Please confirm your email address by clicking on the link below.,spam
Free tickets to the game,Click here to claim your free tickets to the game.,spam
Meeting reminder,Reminder: Our meeting is scheduled for tomorrow at 10 AM.,ham
Important update on your account,We have detected unusual activity on your account. Please click the link to verify your account details.,spam
Invitation to the party,You're invited to our party next Saturday at 8 PM.,ham
Meeting follow-up,Thank you for attending our meeting today. Here are the minutes.,ham
Last chance to save,This is your last chance to take advantage of our sale. Don't miss out!,spam
Discount offer,Get 20% off on your next purchase with this coupon code.,ham
You've won a prize,You have been selected as the winner of our prize giveaway. Click here to claim your prize.,spam
Schedule change,Please note that our office will be closed on Monday for the holiday.,ham
Special offer,Get a discount of 25% on your next purchase with this code!,ham
Reminder about the meeting,Don't forget about our meeting tomorrow at 2 PM.,ham
Your account is locked,We have detected some unusual activity on your account. Please click the link to unlock your account.,spam
Last chance to save,This is your last chance to take advantage of our sale. Don't miss out!,spam
Invitation to the party,You're invited to our party next Saturday at 8 PM.,ham
Important notice,Please read this important notice about our service.,ham
Free gift with purchase,Get a free gift with your purchase today only. Click here to claim your gift.,spam
Job opportunity,We are hiring! Click here to apply for our open position.,ham
Your order has shipped,Your order has shipped and will be delivered tomorrow. Thank you for your business.,ham
Your account has been charged,Your account has been charged for your recent purchase. If you have any questions please contact us.,ham
Limited time offer,Get 50% off on all products for a limited time only. Don't miss out!,spam
New product launch,Check out our latest product launch! Click here for more details.,ham
Your order has been cancelled,We are sorry to inform you that your order has been cancelled. Click here for more information.,ham
Urgent action required,Action is required on your account. Click here to take action now.,spam
Thank you for your purchase,Thank you for your recent purchase. We appreciate your business.,ham
Limited time offer,Get a discount of 30% on all products for a limited time only. Click here to start shopping.,spam
Important update on your account,We have detected some suspicious activity on your account. Please click the link to update your account details.,spam
New product announcement,Introducing our newest product! Click here to learn more.,ham
Your account is suspended,Your account has been suspended due to suspicious activity. Please click the link to unsuspend your account.,spam
Huge sale,Don't miss our huge sale! Get up to 50% off on all products. Click here to start shopping.,spam
Your subscription has expired,Your subscription has expired. Click here to renew your subscription.,ham
You've won a prize,Congratulations! You have won a prize. Click here to claim your prize.,spam
Thank you for your feedback,Thank you for your feedback. We appreciate your input.,ham
Your account has been hacked,We have reason to believe that your account has been hacked. Click here to secure your account.,spam
Important notice,Please read this important notice regarding our service outage.,ham
We miss you,We miss you! Click here to see our latest products and offers.,ham
Your order has been delayed,We regret to inform you that your order has been delayed. Click here for more information.,ham
Holiday schedule,Please note that our office will be closed for the holidays on the following dates...,ham
Don't miss out,Don't miss out on our latest sale! Click here to start shopping.,spam
Limited time offer,Get a discount of 40% on all products for a limited time only. Click here to start shopping.,spam
New product launch,We are excited to launch our latest product! Click here to learn more.,ham
Your account is locked,Your account has been locked due to suspicious activity. Click here to unlock your account.,spam
